seq_no.,module,motif_1,motif_2,motif_3,motif_4,motif_5,motif_6,motif_string,motif_list
154,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
155,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
156,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
157,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
158,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
159,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
160,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
161,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
162,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
163,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
164,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
165,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
166,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
167,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
168,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
169,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
170,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
171,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
172,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
173,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
174,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
175,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
176,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
177,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
178,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
179,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
180,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
181,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
182,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
183,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
184,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
185,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
186,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
187,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
188,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
189,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
190,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
191,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
192,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
193,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
194,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
195,1,1,1,0,0,0,0,"motif_1,motif_2","['motif_1', 'motif_2']"
